Nov 25 10:51:37 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 16, retried or failed 0
Nov 25 10:51:37 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 16, retried or failed 0
Nov 25 10:51:37 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 119, retried or failed 4
Nov 25 10:51:47 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 37, retried or failed 0
Nov 25 10:51:47 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 16, retried or failed 0
Nov 25 10:51:47 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 16, retried or failed 0
Nov 25 10:51:47 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 16, retried or failed 0
Nov 25 10:51:47 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 119, retried or failed 4
Nov 25 10:51:57 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 41, retried or failed 0
Nov 25 10:51:57 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 17, retried or failed 0
Nov 25 10:51:57 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 17, retried or failed 0
Nov 25 10:51:57 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 17, retried or failed 0
Nov 25 10:51:57 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 120, retried or failed 4
Nov 25 10:52:07 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 44, retried or failed 0
Nov 25 10:52:07 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 17, retried or failed 0
Nov 25 10:52:07 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 17, retried or failed 0
Nov 25 10:52:07 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 17, retried or failed 0
Nov 25 10:52:07 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 120, retried or failed 4
Nov 25 10:52:17 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 44, retried or failed 0
Nov 25 10:52:17 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 17, retried or failed 0
Nov 25 10:52:17 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 17, retried or failed 0
Nov 25 10:52:17 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 17, retried or failed 0
Nov 25 10:52:17 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 120, retried or failed 4
Nov 25 10:52:27 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 44, retried or failed 0
Nov 25 10:52:27 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 17, retried or failed 0
Nov 25 10:52:27 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 17, retried or failed 0
Nov 25 10:52:27 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 17, retried or failed 0
Nov 25 10:52:27 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 120, retried or failed 4
Nov 25 10:52:37 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 44, retried or failed 0
Nov 25 10:52:37 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 17, retried or failed 0
Nov 25 10:52:37 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 17, retried or failed 0
Nov 25 10:52:37 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 17, retried or failed 0
Nov 25 10:52:37 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 120, retried or failed 4
Nov 25 10:52:47 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 49, retried or failed 0
Nov 25 10:52:47 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 18, retried or failed 0
Nov 25 10:52:47 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 18, retried or failed 0
Nov 25 10:52:47 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 18, retried or failed 0
Nov 25 10:52:47 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 121, retried or failed 4
Nov 25 10:52:57 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 53, retried or failed 0
Nov 25 10:52:57 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 18, retried or failed 0
Nov 25 10:52:57 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 18, retried or failed 0
Nov 25 10:52:57 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 18, retried or failed 0
Nov 25 10:52:57 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 121, retried or failed 4
Nov 25 10:53:07 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 53, retried or failed 0
Nov 25 10:53:07 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 18, retried or failed 0
Nov 25 10:53:07 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 18, retried or failed 0
Nov 25 10:53:07 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 18, retried or failed 0
Nov 25 10:53:07 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 121, retried or failed 4
Nov 25 10:53:17 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 55, retried or failed 0
Nov 25 10:53:17 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 19, retried or failed 0
Nov 25 10:53:17 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 19, retried or failed 0
Nov 25 10:53:17 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 19, retried or failed 0
Nov 25 10:53:17 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 122, retried or failed 4
Nov 25 10:53:27 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 60, retried or failed 0
